Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
сертификат в архангельске,2,2506,услуга + город
сертификат махачкала,2,1965,услуга + город
сертификат долгопрудный,4,1873,услуга + город
сертификат в нижнекамске,2,1818,услуга + город
сертификат в серпухове,2,1318,услуга + город
сертификация в новосибирске,2,1204,услуга + город
сертификат в артёме,2,1136,услуга + город
сертификат москва,2,1040,услуга + город
сертификат щёлково,2,941,услуга + город
сертификат екатеринбург,2,770,услуга + город
сертификат в старом осколе,2,756,услуга + город
сертификат нижний новгород,2,749,услуга + город
сертификат элиста,2,733,услуга + город
сертификат воронеж,2,619,услуга + город
сертификат иваново,4,604,услуга + город
сертификат в альметьевске,2,584,услуга + город
сертификат калининград,3,532,услуга + город
сертификат казань,3,524,услуга + город
сертификат в нальчике,2,520,услуга + город
сертификат омск,2,517,услуга + город
сертификат ижевск,2,480,услуга + город
сертификат ярославль,2,470,услуга + город
сертификация в лесной,2,464,услуга + город
сертификат новосибирск,2,445,услуга + город
сертификат в рыльске,2,440,услуга + город
сертификат челябинск,2,431,услуга + город
сертификат самара,2,427,услуга + город
сертификат рязань,2,403,услуга + город
сертификат волгоград,2,385,услуга + город
сертификат минск,2,375,услуга + город
сертификат мытищи,2,363,услуга + город
декларация анапа,2,344,услуга + город
сертификат саратов,3,334,услуга + город
сертификат мичуринск,2,332,услуга + город
сертификат петрозаводск,2,310,услуга + город
сертификат томск,2,299,услуга + город
сертификат оренбург,2,296,услуга + город
сертификат белгород,2,295,услуга + город
сертификат ростов,3,288,услуга + город
сертификат ульяновск,2,284,услуга + город
сертификат липецк,2,276,услуга + город
сертификат орёл,2,275,услуга + город
сертификация нижний новгород,4,275,услуга + город
сертификат краснодар,3,270,услуга + город
сертификат иркутск,2,268,услуга + город
сертификат в салавате,2,266,услуга + город
сертификация екатеринбург,5,255,услуга + город
сертификация владивосток,4,247,услуга + город
декларация искитим,2,237,услуга + город
сертификат в ишиме,2,237,услуга + город
сертификат в кстове,2,224,услуга + город
сертификат киров,2,217,услуга + город
сертификат в балакове,2,213,услуга + город
сертификация ижевск,4,208,услуга + город
сертификация ставрополь,2,196,услуга + город
сертификат чита,2,186,услуга + город
сертификат в кисловодске,2,185,услуга + город
сертификат в бузулуке,2,184,услуга + город
сертификат новочеркасск,2,177,услуга + город
сертификат в красногорском,3,175,услуга + город
сертификация в казани,4,168,услуга + город
сертификат смоленск,2,166,услуга + город
сертификат севастополь,2,163,услуга + город
сертификат сочи,2,163,услуга + город
сертификат в новокуйбышевске,2,159,услуга + город
сертификат в перми,2,158,услуга + город
сертификация самара,6,156,услуга + город
сертификация в сочи,3,139,услуга + город
сертификат кемерово,2,132,услуга + город
сертификат тула,2,132,услуга + город
сертификат череповец,2,129,услуга + город
сертификация оренбург,2,127,услуга + город
сертификат тольятти,2,126,услуга + город
сертификация курск,3,126,услуга + город
сертификат калуга,2,122,услуга + город
сертификат ялта,2,122,услуга + город
сертификат чебоксары,2,120,услуга + город
сертификат губкинский,2,115,услуга + город
сертификация ростов на дону,2,114,услуга + город
декларация в бузулуке,2,112,услуга + город
сертификация в твери,2,107,услуга + город
сертификация саратов,4,103,услуга + город
сертификат великий новгород,2,100,услуга + город
сертификация минск,2,97,услуга + город
сертификация пенза,2,95,услуга + город
сертификат владимир,2,94,услуга + город
сертификат гомель,2,89,услуга + город
сертификат тобольск,2,89,услуга + город
декларация остров,2,89,услуга + город
сертификат в грозном,2,87,услуга + город
сертификация чебоксары,3,83,услуга + город
сертификация пермь,3,80,услуга + город
сертификация ярославль,2,77,услуга + город
сертификат ставрополь,2,76,услуга + город
сертификат в светлогорске,2,76,услуга + город
сертификация воронеж,5,71,услуга + город
сертификат анапа,2,69,услуга + город
сертификат ачинск,2,67,услуга + город
сертификат прогресс,2,66,услуга + город
сертификат в гродно,2,66,услуга + город
сертификация в калининграде,2,65,услуга + город
сертификат в бресте,2,59,услуга + город
сертификация тамбов,2,55,услуга + город
сертификация старый оскол,2,53,услуга + город
сертификация павловский посад,2,52,услуга + город
сертификат барановичи,2,49,услуга + город
сертификация омск,2,48,услуга + город
декларация в салавате,2,48,услуга + город
сертификат могилёв,2,47,услуга + город
сертификат сокол,2,46,услуга + город
сертификат пересвет,2,46,услуга + город
сертификация белгород,4,43,услуга + город
сертификат славянка,2,43,услуга + город
сертификация ульяновск,2,41,услуга + город
сертификация барнаул,2,40,услуга + город
сертификат кызыл,2,39,услуга + город
сертификация пятигорск,3,38,услуга + город
сертификат кизляр,2,37,услуга + город
сертификат в октябрьском,3,36,услуга + город
сертификат ивантеевка,2,36,услуга + город
сертификат геленджик,2,35,услуга + город
сертификация в красноярске,4,35,услуга + город
сертификат в речице,2,35,услуга + город
сертификат покров,2,33,услуга + город
сертификация якутск,2,33,услуга + город
сертификат луга,3,30,услуга + город
сертификация в липецке,5,29,услуга + город
сертификат пятигорск,2,27,услуга + город
