Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
Cертификат соответствия,1,,Сертификат
Сертификат соответствия ГОСТ,1,,Сертификат
Сертификат соответствия ТР ТС,1,,Сертификат
Сертификат ФСТЭК,1,,Сертификат
Сертификат СТ 1,1,,Сертификат
Сертификат ЖД РС ФЖТ,1,,Сертификат
Пожарный сертификат,1,,Сертификат
Добровольный пожарный сертификат,1,,Сертификат
Био сертификат,1,,Сертификат
ЭКО сертификат,1,,Сертификат
Органический сертификат,1,,Сертификат
Декларация соответствия ГОСТ,1,,Декларация
Декларация соответствия ТР ТС,1,,Декларация
Технические условия,1,,Технические условия
Протокол испытаний,1,,Протокол
СГР Роспотребнадзора,1,,СГР
Удостоверения Минздрава,1,,Удостоверение
Экспертное заключение,1,,Заключение
Разрешение  Ростехнадзора,1,,Разрешение
Паспорт безопасности МСДС,1,,Паспорт безопасности
Отказное письмо для маркетплейса,1,,Отказное письмо
Паспорт безопасности продукции,1,,Паспорт безопасности
Отказное письмо по сертификации,1,,Отказное письмо
Добровольный сертификат ГОСТ Р,1,,Сертификат
Сертификат для РЖД,1,,Сертификат
Гигиенический сертификат,1,,Сертификат
Обоснование безопасности,1,,Обоснование безопасности
Сертификат без ГМО,1,,Сертификат
Ветеринарный сертификат,1,,Сертификат
