Фраза,"""!"" [YW]",База [YW],Категория
сертификат в архангельске,2506,2506,услуга + город
сертификат махачкала,1965,1965,услуга + город
сертификат долгопрудный,1873,1873,услуга + город
сертификат в нижнекамске,1818,1818,услуга + город
сертификат в серпухове,1318,1318,услуга + город
сертификат каменск уральский,1241,1241,услуга + город
сертификат ноябрьск,1227,1227,услуга + город
сертификация в новосибирске,1204,5000,услуга + город
декларация в кирове,1157,1157,услуга + город
сертификат в артёме,1136,1136,услуга + город
сертификат ессентуки,1132,1132,услуга + город
сертификат москва,1040,602219,услуга + город
сертификат в пскове,1000,1000,услуга + город
сертификат в братске,952,952,услуга + город
сертификат щёлково,941,941,услуга + город
сертификат екатеринбург,770,110820,услуга + город
сертификат в старом осколе,756,756,услуга + город
сертификат нижний новгород,749,63395,услуга + город
сертификат качканар,749,749,услуга + город
сертификат элиста,733,733,услуга + город
сертификат в долгопрудном,681,681,услуга + город
сертификат в ковровом,674,674,услуга + город
сертификат воронеж,619,67133,услуга + город
сертификат иваново,604,24630,услуга + город
сертификат в альметьевске,584,584,услуга + город
сертификат в москве,579,359318,услуга + город
сертификат тюмень,558,55959,услуга + город
сертификат лермонтов,546,546,услуга + город
сертификат калининград,532,40897,услуга + город
декларация энгельс,530,530,услуга + город
сертификат курск,524,122982,услуга + город
сертификат казань,524,58409,услуга + город
сертификат в нальчике,520,520,услуга + город
сертификат омск,517,40609,услуга + город
декларация минеральные воды,516,516,услуга + город
сертификат белорецк,512,512,услуга + город
сертификация брест,510,510,услуга + город
сертификат в якутске,505,505,услуга + город
сертификация москва,495,32930,услуга + город
сертификат ижевск,480,36322,услуга + город
сертификат ярославль,470,36245,услуга + город
сертификация в лесной,464,464,услуга + город
сертификат новосибирск,445,93234,услуга + город
сертификат звенигород,443,443,услуга + город
сертификат новочебоксарск,443,443,услуга + город
сертификат в рыльске,440,440,услуга + город
сертификат рыльск,440,440,услуга + город
декларация симферополь,432,432,услуга + город
сертификат челябинск,431,54027,услуга + город
сертификат самара,427,54052,услуга + город
декларация казанская,417,37553,услуга + город
сертификация иваново,415,3893,услуга + город
сертификат копейск,406,406,услуга + город
сертификат рязань,403,30816,услуга + город
сертификат пермь,393,54754,услуга + город
сертификат фрязино,392,392,услуга + город
сертификат барнаул,391,24894,услуга + город
сертификат в электростали,388,388,услуга + город
сертификат тверь,387,25185,услуга + город
сертификат волгоград,385,35634,услуга + город
декларация заводской,385,385,услуга + город
сертификат нижнекамск,380,10166,услуга + город
сертификат минск,375,44635,услуга + город
сертификат юрга,365,365,услуга + город
сертификат мытищи,363,81675,услуга + город
декларация анапа,344,344,услуга + город
сертификат тайга,335,4271,услуга + город
сертификат саратов,334,43098,услуга + город
сертификат мичуринск,332,332,услуга + город
сертификат санкт петербург,327,71459,услуга + город
сертификат вологда,324,25033,услуга + город
сертификат кингисепп,316,316,услуга + город
сертификат петрозаводск,310,7298,услуга + город
сертификат в мытищах,309,43090,услуга + город
сертификат в евпатории,307,307,услуга + город
сертификат томск,299,19799,услуга + город
сертификат красноярск,296,60789,услуга + город
сертификат оренбург,296,21143,услуга + город
сертификат белгород,295,24245,услуга + город
сертификат ростов,288,69628,услуга + город
сертификат ульяновск,284,16881,услуга + город
сертификат бугульма,277,277,услуга + город
сертификат липецк,276,19920,услуга + город
сертификат брянск,276,18954,услуга + город
сертификат в лиде,276,276,услуга + город
сертификат орёл,275,14405,услуга + город
сертификация нижний новгород,275,4723,услуга + город
декларация асбест,275,275,услуга + город
сертификат тамбов,273,19799,услуга + город
сертификат краснодар,270,61601,услуга + город
декларация первоуральск,269,269,услуга + город
сертификат иркутск,268,32857,услуга + город
сертификация прогресс,267,5034,услуга + город
сертификат в салавате,266,266,услуга + город
сертификат хабаровск,261,28647,услуга + город
сертификация екатеринбург,255,6284,услуга + город
декларация полярный,253,253,услуга + город
сертификация владивосток,247,2589,услуга + город
сертификация иркутск,247,1211,услуга + город
сертификат ростов на дону,246,38853,услуга + город
декларация тихвин,242,242,услуга + город
сертификация новосибирск,241,8760,услуга + город
декларация всеволожск,241,241,услуга + город
сертификат сысерть,241,241,услуга + город
сертификат забайкальск,241,241,услуга + город
сертификат углич,239,239,услуга + город
декларация искитим,237,237,услуга + город
сертификат в ишиме,237,237,услуга + город
сертификат ржев,236,236,услуга + город
сертификат зеленодольск,235,235,услуга + город
сертификат в красноярске,228,24995,услуга + город
сертификат кострома,226,14121,услуга + город
сертификат в кстове,224,224,услуга + город
сертификат апатиты,221,221,услуга + город
декларация гатчина,219,219,услуга + город
декларация в калуге,218,218,услуга + город
сертификат киров,217,36413,услуга + город
сертификат александров,217,15512,услуга + город
сертификат батайск,214,214,услуга + город
сертификат в балакове,213,213,услуга + город
сертификат назарово,209,209,услуга + город
сертификация ижевск,208,2385,услуга + город
декларация в нее,207,207,услуга + город
сертификат в элисте,203,203,услуга + город
сертификат симферополь,202,20748,услуга + город
сертификация ставрополь,196,946,услуга + город
сертификация набережные челны,193,193,услуга + город
сертификат йошкар ола,191,8459,услуга + город
декларация солнечный,191,191,услуга + город
сертификат набережные челны,188,7996,услуга + город
декларация туймазы,187,187,услуга + город
сертификат свободы,187,187,услуга + город
сертификат чита,186,10616,услуга + город
сертификат в кисловодске,185,185,услуга + город
декларация елабуга,184,184,услуга + город
декларация семёнов,184,184,услуга + город
сертификат в бузулуке,184,184,услуга + город
сертификат горный,183,183,услуга + город
сертификация в орле,182,282,услуга + город
сертификат в калининграде,180,14371,услуга + город
сертификат усинск,180,180,услуга + город
сертификат новочеркасск,177,1466,услуга + город
сертификация краснодар,175,4293,услуга + город
сертификат в красногорском,175,175,услуга + город
сертификат в красногорске,175,175,услуга + город
сертификат красногорск,175,175,услуга + город
декларация стерлитамак,173,2230,услуга + город
