Фраза,"""!"" [YW]",База [YW],Категория
сертификация продукции,23073,487535,услуга + продукт
сертификат халяль,8019,59546,услуга + продукт
сертификат wildberries,6354,73260,услуга + продукт
сертификация на уровень,5315,5315,услуга + продукт
декларация программа,5184,232622,услуга + продукт
декларация пакеты,5112,5112,услуга + продукт
декларация пакета,4781,4781,услуга + продукт
сертификат крошки,4721,4721,услуга + продукт
сертификат на пятёрочку,4669,4669,услуга + продукт
сертификация товаров,4327,158182,услуга + продукт
сертификат на продукцию,3845,312418,услуга + продукт
сертификат алкогольные,3618,3618,услуга + продукт
сертификат электродвигателя,3570,3570,услуга + продукт
сертификат на парную,3220,3220,услуга + продукт
сертификат изоляторов,3147,3147,услуга + продукт
декларация клапана,2734,2734,услуга + продукт
сертификат магнит,2661,215172,услуга + продукт
декларация кабель,2659,2659,услуга + продукт
сертификат для мужчины,2619,118451,услуга + продукт
сертификат мармелады,2595,2595,услуга + продукт
декларация сырья,2555,2555,услуга + продукт
сертификация одежды,2503,22775,услуга + продукт
декларация кабеля,2453,2453,услуга + продукт
сертификат на детские товары,2340,5811,услуга + продукт
сертификация детских товаров,2338,4068,услуга + продукт
сертификат на гостиницу,2299,5606,услуга + продукт
сертификация пищевой продукции,2207,12912,услуга + продукт
сертификация на материал,2164,2164,услуга + продукт
сертификация модуля,2114,2114,услуга + продукт
декларация вентилятор,2106,2106,услуга + продукт
сертификация автоматического,2094,2094,услуга + продукт
сертификат ремня,2047,2047,услуга + продукт
сертификация производства,1991,71051,услуга + продукт
сертификация халяль,1955,10746,услуга + продукт
декларация вентилятора,1943,1943,услуга + продукт
сертификат на бетон,1919,12960,услуга + продукт
сертификация косметики,1912,7667,услуга + продукт
сертификаты на принтеры,1909,1909,услуга + продукт
декларация вентиляторы,1903,1903,услуга + продукт
декларация стали,1871,1871,услуга + продукт
сертификат на косметику,1858,36791,услуга + продукт
сертификация товара,1836,158180,услуга + продукт
декларация сейфы,1825,1825,услуга + продукт
сертификация белья постельного,1758,4587,услуга + продукт
сертификат буквы,1717,1717,услуга + продукт
сертификация детской одежды,1655,7835,услуга + продукт
сертификат на мясо,1609,9725,услуга + продукт
сертификация нижнего белья,1580,3371,услуга + продукт
сертификат на крышку,1544,1544,услуга + продукт
сертификат колбасы,1537,1537,услуга + продукт
сертификат битумная мастика,1535,18732,услуга + продукт
сертификат на одежду,1534,43681,услуга + продукт
сертификация мебели,1494,9193,услуга + продукт
сертификат пружины,1483,1483,услуга + продукт
сертификаты для мужчин,1482,118452,услуга + продукт
сертификат на электроды,1474,20703,услуга + продукт
сертификат громкоговорителя,1471,1471,услуга + продукт
сертификат на ручки,1467,1467,услуга + продукт
сертификат на кофе,1396,9407,услуга + продукт
сертификат лента,1384,114902,услуга + продукт
сертификат на нож,1326,34959,услуга + продукт
сертификат на нижнее бельё,1325,11256,услуга + продукт
сертификат на обувь,1316,38636,услуга + продукт
сертификация автосервиса,1300,4098,услуга + продукт
сертификат на арматуру,1279,30981,услуга + продукт
сертификация услуг,1252,124079,услуга + продукт
сертификаты на строительные материалы,1246,10298,услуга + продукт
сертификат уайт спирит,1224,6678,услуга + продукт
сертификат на отель,1200,48418,услуга + продукт
декларация колбаса,1182,1182,услуга + продукт
сертификация программного обеспечения,1157,13217,услуга + продукт
сертификат на цемент,1094,7628,услуга + продукт
сертификация обуви,1091,5267,услуга + продукт
сертификат на мёд,1090,11487,услуга + продукт
сертификация эко продукции,1066,2283,услуга + продукт
сертификация игрушек,1045,13195,услуга + продукт
декларация кнопка,1024,1024,услуга + продукт
декларация моющие средства,1024,1024,услуга + продукт
декларация подушки,1020,1020,услуга + продукт
декларация подушка,1007,1007,услуга + продукт
сертификат на щебень,999,11066,услуга + продукт
сертификация услуг общественного питания,998,1997,услуга + продукт
сертификация светильников,978,5360,услуга + продукт
сертификат на мебель,974,15340,услуга + продукт
декларация кнопки,971,971,услуга + продукт
сертификат на бады,954,23382,услуга + продукт
сертификат лайм,945,8706,услуга + продукт
сертификация средств измерений,937,10279,услуга + продукт
сертификат меча,935,935,услуга + продукт
сертификат на автокресло,906,9656,услуга + продукт
сертификат бюстгальтера,906,906,услуга + продукт
сертификат на калькулятор,898,14625,услуга + продукт
сертификат сертификат пожарной безопасности на линолеум,880,3375,услуга + продукт
сертификация костюма,871,871,услуга + продукт
сертификат катетера,865,865,услуга + продукт
сертификат серийно выпускаемую продукцию,862,862,услуга + продукт
сертификат на бензин,859,7443,услуга + продукт
сертификат апельсина,852,852,услуга + продукт
сертификат на услуги,851,100208,услуга + продукт
сертификат на часы,849,34414,услуга + продукт
декларация кошельки,847,847,услуга + продукт
декларация арматура,847,847,услуга + продукт
сертификация хлебобулочных изделий,837,1446,услуга + продукт
декларация арматуру,834,834,услуга + продукт
сертификат на товар,832,204495,услуга + продукт
сертификат на пиво,830,4757,услуга + продукт
декларация томатная паста,821,821,услуга + продукт
сертификация бад,816,7764,услуга + продукт
сертификат обогреватели,795,795,услуга + продукт
сертификация зерна,786,2105,услуга + продукт
сертификация молока,785,3610,услуга + продукт
сертификат утюга,776,776,услуга + продукт
декларация сидр,766,766,услуга + продукт
декларация арматуры,762,762,услуга + продукт
сертификат на молоко,756,4516,услуга + продукт
сертификат плиточный клей,755,8104,услуга + продукт
декларация ячмень,755,755,услуга + продукт
сертификат на металлопрокат,753,5398,услуга + продукт
сертификат на квадроцикл,748,25502,услуга + продукт
сертификация строительных материалов,740,4627,услуга + продукт
сертификат полиамид,734,734,услуга + продукт
сертификат цемент,734,23515,услуга + продукт
сертификат халал,732,3910,услуга + продукт
сертификат песок,730,40991,услуга + продукт
сертификация на продукцию,729,83623,услуга + продукт
сертификаты тэн,729,729,услуга + продукт
сертификация гостиниц,716,6431,услуга + продукт
сертификат мед,707,58865,услуга + продукт
сертификат на кабель,706,57195,услуга + продукт
сертификат электроды,706,43590,услуга + продукт
декларация томатной пасты,691,691,услуга + продукт
сертификация медицинских изделий,689,9092,услуга + продукт
