Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
сертификация продукции москва,2,2449,услуга+продукт+город
сертификация продукции новосибирск,3,1569,услуга+продукт+город
сертификат на английскую москва,3,1143,услуга+продукт+город
сертификация продукции иваново,4,719,услуга+продукт+город
сертификация продукции казань,2,719,услуга+продукт+город
сертификат номер вологда,2,646,услуга+продукт+город
сертификация продукции краснодар,6,563,услуга+продукт+город
сертификация продукции екатеринбург,3,562,услуга+продукт+город
сертификат плитки ковров,2,528,услуга+продукт+город
декларация основания промышленная,3,399,услуга+продукт+город
сертификация продукции челябинск,3,332,услуга+продукт+город
сертификат оборудования екатеринбург,3,256,услуга+продукт+город
сертификат на одежду екатеринбург,5,245,услуга+продукт+город
сертификат тесто санкт петербург,3,222,услуга+продукт+город
сертификат на бетон новосибирск,2,211,услуга+продукт+город
сертификация продукции владимир,2,211,услуга+продукт+город
сертификат панели солнечный,2,206,услуга+продукт+город
сертификация услуг москва,2,171,услуга+продукт+город
сертификат на нижнее бельё нижний новгород,2,154,услуга+продукт+город
сертификат установка рязань,2,138,услуга+продукт+город
сертификат строительный песок брянск,2,132,услуга+продукт+город
сертификат мармелад череповец,2,126,услуга+продукт+город
сертификат ключи гомель,2,122,услуга+продукт+город
сертификат на продукцию новосибирск,2,120,услуга+продукт+город
сертификат цемент сухой лог,2,115,услуга+продукт+город
сертификат самолёты екатеринбург,2,112,услуга+продукт+город
сертификация оружие ростов на дону,7,110,услуга+продукт+город
сертификат яблоки тюмень,2,100,услуга+продукт+город
сертификация оружие москва,2,97,услуга+продукт+город
сертификат гранит сибирский,2,95,услуга+продукт+город
сертификат песок красноярск,2,95,услуга+продукт+город
сертификат кофе нижний новгород,2,94,услуга+продукт+город
сертификат квадроциклы саратов,3,84,услуга+продукт+город
сертификат бетоны коломна,3,83,услуга+продукт+город
сертификат на бетон екатеринбург,2,83,услуга+продукт+город
сертификат на краску ярославль,2,79,услуга+продукт+город
сертификат посуду красноярск,7,74,услуга+продукт+город
сертификат шары екатеринбург,2,73,услуга+продукт+город
сертификат песок краснодар,4,72,услуга+продукт+город
сертификат на косметику челябинск,4,67,услуга+продукт+город
сертификация органы ростов,2,66,услуга+продукт+город
сертификат на квадроциклы омск,2,65,услуга+продукт+город
сертификация продукции минск,4,65,услуга+продукт+город
сертификат песок нижний новгород,2,60,услуга+продукт+город
сертификация косметика москва,2,56,услуга+продукт+город
сертификация продукция санкт петербург,3,51,услуга+продукт+город
сертификат одежда минск,4,50,услуга+продукт+город
сертификация пищевой продукции краснодар,3,49,услуга+продукт+город
сертификат строительный песок новосибирск,2,48,услуга+продукт+город
сертификация пищевой продукции самара,2,48,услуга+продукт+город
сертификат асфальт брянск,3,48,услуга+продукт+город
сертификат на квадроциклы ростов,3,48,услуга+продукт+город
сертификат на нижнее бельё екатеринбург,4,48,услуга+продукт+город
сертификация одежды новосибирск,4,48,услуга+продукт+город
сертификация товара махачкала,3,48,услуга+продукт+город
сертификат аппараты слуховые волжский,2,36,услуга+продукт+город
