Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
сертификация продукции,12,23073,услуга + продукт
сертификат халяль,6,8019,услуга + продукт
декларация программа,2,5184,услуга + продукт
декларация пакеты,2,5112,услуга + продукт
сертификат крошки,3,4721,услуга + продукт
сертификат на продукцию,10,3845,услуга + продукт
сертификат алкогольные,3,3618,услуга + продукт
сертификат электродвигателя,3,3570,услуга + продукт
сертификат изоляторов,2,3147,услуга + продукт
декларация клапана,2,2734,услуга + продукт
сертификат магнит,8,2661,услуга + продукт
декларация кабель,2,2659,услуга + продукт
сертификат мармелады,4,2595,услуга + продукт
декларация сырья,14,2555,услуга + продукт
сертификация одежды,16,2503,услуга + продукт
сертификат на детские товары,8,2340,услуга + продукт
сертификат на гостиницу,5,2299,услуга + продукт
сертификация пищевой продукции,15,2207,услуга + продукт
декларация вентилятор,6,2106,услуга + продукт
сертификация автоматического,2,2094,услуга + продукт
сертификат ремня,3,2047,услуга + продукт
сертификация производства,5,1991,услуга + продукт
сертификация халяль,3,1955,услуга + продукт
сертификат на бетон,10,1919,услуга + продукт
сертификация косметики,5,1912,услуга + продукт
сертификаты на принтеры,7,1909,услуга + продукт
декларация стали,2,1871,услуга + продукт
сертификат на косметику,3,1858,услуга + продукт
декларация сейфы,2,1825,услуга + продукт
сертификация белья постельного,7,1758,услуга + продукт
сертификат на мясо,5,1609,услуга + продукт
сертификация нижнего белья,3,1580,услуга + продукт
сертификат колбасы,9,1537,услуга + продукт
сертификат битумная мастика,6,1535,услуга + продукт
сертификация мебели,9,1494,услуга + продукт
сертификат пружины,2,1483,услуга + продукт
сертификат на электроды,5,1474,услуга + продукт
сертификат на ручки,5,1467,услуга + продукт
сертификат на кофе,8,1396,услуга + продукт
сертификат лента,2,1384,услуга + продукт
сертификат на нож,5,1326,услуга + продукт
сертификат на нижнее бельё,38,1325,услуга + продукт
сертификат на обувь,4,1316,услуга + продукт
сертификация автосервиса,5,1300,услуга + продукт
сертификат на арматуру,4,1279,услуга + продукт
сертификация услуг,4,1252,услуга + продукт
сертификаты на строительные материалы,8,1246,услуга + продукт
сертификат уайт спирит,3,1224,услуга + продукт
сертификат на отель,6,1200,услуга + продукт
декларация колбаса,3,1182,услуга + продукт
сертификация программного обеспечения,5,1157,услуга + продукт
сертификат на цемент,5,1094,услуга + продукт
сертификация обуви,8,1091,услуга + продукт
сертификат на мёд,4,1090,услуга + продукт
сертификация игрушек,5,1045,услуга + продукт
декларация кнопка,2,1024,услуга + продукт
декларация моющие средства,4,1024,услуга + продукт
декларация подушки,5,1020,услуга + продукт
сертификат на щебень,5,999,услуга + продукт
сертификация услуг общественного питания,2,998,услуга + продукт
сертификация светильников,2,978,услуга + продукт
сертификат на бады,6,954,услуга + продукт
сертификат лайм,3,945,услуга + продукт
сертификация средств измерений,13,937,услуга + продукт
сертификат меча,2,935,услуга + продукт
сертификат на автокресло,8,906,услуга + продукт
сертификат бюстгальтера,4,906,услуга + продукт
сертификат на калькулятор,2,898,услуга + продукт
сертификат сертификат пожарной безопасности на линолеум,2,],услуга + продукт
сертификат на бензин,2,859,услуга + продукт
сертификат апельсина,3,852,услуга + продукт
сертификат на услуги,3,851,услуга + продукт
сертификат на часы,10,849,услуга + продукт
декларация кошельки,4,847,услуга + продукт
декларация арматура,5,847,услуга + продукт
сертификация хлебобулочных изделий,3,837,услуга + продукт
сертификат на пиво,3,830,услуга + продукт
декларация томатная паста,6,821,услуга + продукт
сертификация бад,3,816,услуга + продукт
сертификат обогреватели,2,795,услуга + продукт
сертификация зерна,4,786,услуга + продукт
сертификация молока,4,785,услуга + продукт
сертификат утюга,3,776,услуга + продукт
декларация сидр,2,766,услуга + продукт
сертификат плиточный клей,3,755,услуга + продукт
сертификат на металлопрокат,5,753,услуга + продукт
сертификат на квадроцикл,4,748,услуга + продукт
сертификат песок,4,730,услуга + продукт
сертификаты тэн,8,729,услуга + продукт
сертификация гостиниц,7,716,услуга + продукт
сертификат на кабель,4,706,услуга + продукт
сертификация медицинских изделий,9,689,услуга + продукт
сертификат пряника,3,677,услуга + продукт
декларация ленты,2,676,услуга + продукт
сертификат фанера,3,665,услуга + продукт
сертификация клевер,4,663,услуга + продукт
сертификация оборудования,10,660,услуга + продукт
сертификат насосы центробежные,2,656,услуга + продукт
сертификат постельное белье,3,648,услуга + продукт
декларация шаров,4,646,услуга + продукт
сертификация сыра,8,637,услуга + продукт
сертификация труб,2,630,услуга + продукт
сертификация упаковки,4,625,услуга + продукт
декларация рапс,6,621,услуга + продукт
сертификат на детскую одежду,7,618,услуга + продукт
декларация велосипеды,3,618,услуга + продукт
сертификат на кружки,4,618,услуга + продукт
сертификат сиз,3,601,услуга + продукт
сертификаты на роутеры,5,585,услуга + продукт
декларация дезодоранты,2,585,услуга + продукт
сертификат машины швейные,3,574,услуга + продукт
сертификат на шоколад,3,568,услуга + продукт
декларация пища,6,568,услуга + продукт
декларация коробки,3,567,услуга + продукт
сертификат микроскопа,3,565,услуга + продукт
сертификат электроприбора,4,563,услуга + продукт
сертификация футболок,7,561,услуга + продукт
сертификат на золото,3,556,услуга + продукт
сертификация взрывозащищенного оборудования,2,545,услуга + продукт
декларация виски,2,545,услуга + продукт
сертификация дерева,2,540,услуга + продукт
сертификация мыла,3,538,услуга + продукт
сертификат на сливочное масло,6,538,услуга + продукт
сертификат блока питания,7,531,услуга + продукт
декларация воду минеральных,2,516,услуга + продукт
сертификация семян,2,512,услуга + продукт
декларация защитный очки,4,503,услуга + продукт
сертификат на моторное масло,9,502,услуга + продукт
сертификаты на материалы,2,486,услуга + продукт
сертификат на окна пвх,10,485,услуга + продукт
сертификат на водоэмульсионную краску,5,482,услуга + продукт
сертификат тротуарная плитка,3,480,услуга + продукт
декларация мандарины,2,474,услуга + продукт
сертификат на воду,5,468,услуга + продукт
сертификат труба пнд,5,464,услуга + продукт
сертификация транспортных средств,10,460,услуга + продукт
сертификат доска обрезная,4,459,услуга + продукт
сертификат на противопожарную дверь,6,459,услуга + продукт
сертификат грунтовка,3,458,услуга + продукт
декларация бумагу туалетную,8,454,услуга + продукт
сертификация детского игрового оборудования,9,452,услуга + продукт
декларация грунтовки,3,452,услуга + продукт
сертификат на продукцию парфюмерную,4,442,услуга + продукт
декларация говядина,2,439,услуга + продукт
сертификация товаров из китая,5,439,услуга + продукт
сертификат красную икру,5,438,услуга + продукт
сертификация часов,4,437,услуга + продукт
сертификат печатной платы,2,426,услуга + продукт
декларация диффузоры,5,426,услуга + продукт
декларация кирпичей,2,420,услуга + продукт
декларация поддоны,8,418,услуга + продукт
сертификация сумок,3,416,услуга + продукт
декларация дрожжи,2,414,услуга + продукт
декларация щётку зубные,5,409,услуга + продукт
сертификат на мыло,2,408,услуга + продукт
сертификация посуды,5,407,услуга + продукт
сертификат на спасательный жилет,6,406,услуга + продукт
сертификат для женщины,2,405,услуга + продукт
сертификация газовую плиту,6,404,услуга + продукт
сертификат на трубу,6,399,услуга + продукт
сертификат на очки,6,392,услуга + продукт
сертификат для мотоцикла,2,392,услуга + продукт
сертификат розетки,3,391,услуга + продукт
сертификат на электронику,5,388,услуга + продукт
декларация платки,2,388,услуга + продукт
сертификат запчасти,2,385,услуга + продукт
декларация огурцы,2,373,услуга + продукт
сертификат на светильники,4,371,услуга + продукт
сертификат на краску,4,370,услуга + продукт
сертификация кабеля,2,370,услуга + продукт
декларация свежего,3,370,услуга + продукт
сертификат мопеда,4,367,услуга + продукт
декларация товара,3,367,услуга + продукт
сертификат на пиломатериалы,9,367,услуга + продукт
сертификаты на канистры,2,362,услуга + продукт
сертификат на машину,5,361,услуга + продукт
декларация чечевицы,2,356,услуга + продукт
сертификация газовых баллонов,4,355,услуга + продукт
сертификат на трансформатор,4,353,услуга + продукт
сертификат линолеум,2,352,услуга + продукт
сертификат на кирпич,3,348,услуга + продукт
сертификация извести,3,347,услуга + продукт
сертификат на калибр,4,346,услуга + продукт
декларация зефир,4,346,услуга + продукт
декларация пледы,4,344,услуга + продукт
декларация автомобиля,3,344,услуга + продукт
сертификация металлоконструкций,6,342,услуга + продукт
сертификат на гипсокартон,3,341,услуга + продукт
сертификация электротехнической продукции,5,341,услуга + продукт
сертификаты на продукты питания,3,337,услуга + продукт
сертификат битум,5,336,услуга + продукт
сертификация лекарственных средств,20,335,услуга + продукт
